reviewId,review,score,gender,location,date
gen_cbec146a,Here are the paraphrased comments:,2,male,"Kumasi, Ghana",2020-03-09
gen_9d000672,"Podcasts keep crashing all the time now. The app freezes whenever I try to rewind or set a sleep timer, making it impossible to use these features. Reinstalling hasn't resolved the issue",2,male,"Cali, Colombia",2021-08-09
gen_2b7f746f,"Spotify's mobile data functionality is not working at all. Every time I'm on data, the app shows that I'm offline, even after reinstalling and adjusting settings",2,male,"Tripoli, Libya",2020-03-21
gen_58bc0e7f,Playlist fails to open every single time,2,male,"Mombasa, Kenya",2019-12-03
gen_88d74ded,I used to give this app a perfect score until it started serving ads on my premium subscription. This behavior has ruined my experience as a paying customer,2,male,"Medellín, Colombia",2021-07-18
gen_dc79a50a,"The create button's own taskbar icon is completely unnecessary, given that it's already listed in the library. It's clear that no UX expert was consulted when designing this feature, making me waste time clicking through to get to my desired music",2,male,"Philadelphia, United States",2021-02-15
gen_6600e3ad,Here are the paraphrased comments:,2,male,"Frankfurt, Germany",2018-03-31
gen_2fc6af7b,"* Its good but why does it refuse to let me pay with Smart Communication?! My money is already loaded, what's going on?!",2,female,"Auckland, New Zealand",2022-10-02
gen_67b20fca,"* For some reason, Spotify won't work when I'm connected to mobile data - only WiFi seems to do the trick, and I've checked everything multiple times",2,male,"Mexico City, Mexico",2021-01-10
gen_7aef7a83,* It's average,2,male,"Oslo, Norway",2017-12-16
gen_02de9956,"* As a Premium User, I'm here because of the consistently poor performance. Used to be great, but now it keeps crashing randomly while I'm just listening, even when I'm not doing anything else on my phone. Enough is enough!",2,male,"Beijing, China",2019-07-21
gen_8d65dd70,"* It's decent, but what really gets me is that it takes ages to load my downloaded playlists - sometimes over a minute! Using something else is easier at this point",2,male,"Tokyo, Japan",2019-05-04
gen_0c6e0248,"* The app is fine, but the fact that it still struggles with loading local playlists after I've already downloaded them is really frustrating",2,male,"Casablanca, Morocco",2019-10-13
gen_ebed0b60,"* My experience has been pretty underwhelming with this app, especially when it comes to loading saved playlists, which can take forever",2,male,"Bangalore, India",2019-09-01
gen_1ac8cb9f,"* To be honest, the only thing that keeps me using this app is its basic functionality - but even that's marred by frequent crashes and slow performance",2,male,"Budapest, Hungary",2018-02-12
gen_ba41c74b,"* This app gets the job done, but don't expect much else from it; loading playlists is a chore, and I'm starting to think it's not worth the hassle",2,male,"Lima, Peru",2021-08-28
gen_d5c6a829,Here are the paraphrased comments:,2,male,"Rabat, Morocco",2019-12-23
gen_81c11abc,"Lagging really badly, gets worse every time I use it",2,male,"Frankfurt, Germany",2018-07-01
gen_84075992,"It's getting on my nerves that suggested songs keep playing when I've turned them off, and where's the loop button gone?",2,male,"Kathmandu, Nepal",2018-12-25
gen_15b87825,"Since today, every time I try to open the song panel in Spotify, it crashes and says the app has stopped working - only with my premium account, weirdly",2,female,"Canberra, Australia",2022-12-10
gen_57fab0d9,Smart shuffle is pretty useless,2,male,"Jerusalem, Israel",2019-01-12
gen_ffef987c,These apps are somewhat decent but they keep crashing randomly,2,male,"Glasgow, United Kingdom",2018-02-08
gen_551f714b,Here are 10 paraphrases of each comment with exactly the same sentiment:,2,female,"Canberra, Australia",2022-10-16
gen_3b5f13a1,It's gotten very slow,2,male,"Riyadh, Saudi Arabia",2019-09-08
gen_e1a46791,"Paraphrase: The app has become increasingly sluggish as they've added more features, now it even tries to sell me concert tickets when I don't need them",2,female,"Suva, Fiji",2022-05-19
gen_d650574f,I'm trying to log in back,2,male,"Jerusalem, Israel",2019-05-09
gen_3dcd0289,"Paraphrase: Logging in is a nightmare, it takes forever and the loading screen is annoying, please fix this issue ASAP",2,male,"Vienna, Austria",2018-01-19
gen_56726424,My experience has yet to change,2,male,"Buenos Aires, Argentina",2021-06-24
gen_03674ec7,"Paraphrase: Using Spotify with friends through Blend has become less enjoyable as it no longer shows us common songs, just a useless symbol next to one song, I'm fed up with these glitches",2,male,"Helsinki, Finland",2018-11-12
gen_ff731c96,Good music but the ads make me mad,2,male,"Warsaw, Poland",2018-04-24
gen_52db13ae,"Paraphrase: While I enjoy the music selection, the relentless ads are infuriating, they promise ad-free periods that never last and always try to sell me something annoying like that Clorox ad",2,male,"Tunis, Tunisia",2020-04-09
gen_4701bcb6,It was working just fine when I first installed it,2,male,"Dakar, Senegal",2019-10-25
gen_6aa0c661,Here are the paraphrased comments:,2,male,"Jakarta, Indonesia",2019-07-10
gen_0fadc4a2,* Your commercials go on for way too long,2,male,"Edinburgh, United Kingdom",2018-01-20
gen_cb3d0eed,* The only reason I'm giving it 2 stars is because I pay for premium and expect more audiobook time,2,male,"Karachi, Pakistan",2019-07-01
gen_244c252f,* I got stuck with four ads in a row back-to-back,2,male,"Córdoba, Argentina",2021-11-28
gen_62ae3c59,* A significant number of songs keep disappearing from my library,2,male,"Algiers, Algeria",2019-10-10
gen_1401877c,* It's always asking me to spend money,2,female,"Adelaide, Australia",2022-03-21
gen_234388b4,Here are 10 paraphrases of the original comments:,2,male,"Vancouver, Canada",2021-01-06
gen_027425dc,"* The app's construction is impressive, but the relentless push for Premium membership is a major turn-off",2,male,"Stockholm, Sweden",2018-06-14
gen_75198918,* Bring back your previous format so I can easily see new episodes from my favorite podcasts,2,male,"San Francisco, United States",2020-11-14
gen_95b154b0,"* While this app has some good qualities, its playlist feature falls short if it doesn't play the songs as expected",2,female,"Suva, Fiji",2022-09-07
gen_cb2c5eea,* It's frustrating that ads keep interrupting my listening experience and making me wait for ad-free music,2,male,"Harare, Zimbabwe",2020-01-13
gen_41c5b5d0,"* The app's design is outdated and needs a refresh, especially considering the customization options available",2,male,"Quito, Ecuador",2022-01-05
gen_2172393e,* Spotify can't compete with YouTube Music when it comes to user experience and ad management,2,male,"Lima, Peru",2021-09-10
gen_989ce30f,"* I'm tired of having my downloaded songs deleted and re-downloaded repeatedly, it's really annoying",2,male,"Birmingham, United Kingdom",2018-11-16
gen_d67f2268,"* This issue with downloaded songs keeps happening, which makes me want to switch back to Apple Music for good",2,male,"Krakow, Poland",2018-08-13
gen_4db34bab,* The ads on this app are getting in the way of my listening pleasure and making me consider alternatives like YouTube Music,2,male,"Lima, Peru",2021-09-10
gen_db55a83a,Here are the paraphrased comments:,2,female,"Sydney, Australia",2022-11-04
gen_efd150d3,"I paid for premium to avoid ads, but customer service revealed that some content still has them, making my payment worthless and disappointing",2,female,"Nadi, Fiji",2022-04-30
gen_b552b2dc,"This company doesn't seem to care about its own app, consistently degrading its functionality over time, especially when it comes to listening to music",2,male,"Washington DC, United States",2020-08-18
gen_e77ca78a,"You guys are getting too greedy with the skip limit, 6 times a day is ridiculous",2,female,"Auckland, New Zealand",2022-11-02
gen_891e7fab,"I'm really disappointed in Discover Weekly lately, as most of the songs I get are repeats of ones I've already liked, which defeats the purpose of discovering new music",2,female,"Auckland, New Zealand",2022-11-02
gen_e1363cbe,"It's frustrating that this app gets worse and more restrictive every day, making me hesitant to even consider upgrading to premium",2,male,"Accra, Ghana",2020-03-20
gen_24566a00,"It's unbelievable that I had to pay for premium to avoid ads, but it turns out some content still has them, rendering my payment pointless and upsetting",2,female,"Queenstown, New Zealand",2022-04-05
gen_4f0cb7a8,"This company is consistently showing a lack of respect for its own app, actively making it less user-friendly over time, especially when it comes to listening to music",2,male,"Seattle, United States",2020-12-05
gen_72fee10d,"You're taking advantage of users by limiting skips to 6 times a day, which is absurd",2,male,"Warsaw, Poland",2018-04-24
gen_12411656,"Discover Weekly used to be something I looked forward to, but now it's just a repeat of songs I already like, which defeats the purpose of discovering new music",2,female,"Suva, Fiji",2022-06-23
gen_771ab4b4,Here are the paraphrased comments:,2,male,"Nairobi, Kenya",2020-03-17
gen_5e610244,* It was enjoyable until they prioritized profits over users,2,male,"Pretoria, South Africa",2020-02-10
gen_e49ca7fd,"* This app forces subscription or delayed playback on every song, it's absolutely terrible and a huge disappointment",2,male,"Harare, Zimbabwe",2020-05-09
gen_0533bac9,"* I'm fed up with seeing the same irrelevant ads repeatedly, even after thumbing them down, and now it seems to be getting worse with each update",2,female,"Auckland, New Zealand",2022-05-26
gen_7efc644e,"* The good thing about this app is being overshadowed by an overwhelming number of ads that play after almost every song, making it frustrating to use",2,female,"Wellington, New Zealand",2022-12-18
gen_f056074c,* It's always trying to squeeze money out of users,2,male,"Hamburg, Germany",2018-01-09
gen_be751756,Here are the paraphrased comments:,2,male,"Salvador, Brazil",2021-12-07
gen_d9d8afdd,"This new update is baffling, as it causes the app to freeze every time I try to view song artwork",2,male,"Birmingham, United Kingdom",2018-01-24
gen_ddcc3e27,"As a premium user, I'm frustrated that they've duplicated the + button for creating playlists and jams, now cluttering the bottom right corner of the screen",2,male,"Mumbai, India",2019-01-21
gen_2e1dbffc,"Unfortunately, this update still freezes my music player when I'm listening to tracks, despite reporting the issue multiple times. Furthermore, it continues to serve me unwanted song recommendations, which is particularly annoying given my premium subscription status",2,male,"Copenhagen, Denmark",2018-03-12
gen_36f52c13,"You're ruining the listening experience with excessive ads! It's absurd that you'd create an app that restricts users' enjoyment in such a way, especially when they've paid for premium features",2,male,"Lyon, France",2017-11-13
gen_4d438a76,"This update has seriously slowed down the app, making it painful to use due to its laggy performance",2,female,"Canberra, Australia",2022-08-12
gen_df0538aa,Here are the paraphrased comments:,2,male,"Austin, United States",2020-11-02
gen_18ffe5ed,* It still plays unwanted songs even when Autoplay is turned off,2,male,"Lyon, France",2018-06-27
gen_d6f2e3be,"* I've paid for premium but I'm still unable to see my lyrics, which is unacceptable",2,male,"Birmingham, United Kingdom",2018-03-06
gen_df6f9b32,* The app's reliance on premium features makes it almost unusable without a subscription,2,male,"Caracas, Venezuela",2021-10-23
gen_102cf813,"* A music streaming service should allow users to select their own music, not just play random tracks",2,male,"Kuala Lumpur, Malaysia",2019-07-11
gen_c437b597,"* Despite its former reputation, Spotify has been plagued by issues and neglect in recent months",2,male,"Taipei, Taiwan",2019-01-18
gen_8301d2af,"* For over a month, clicking on songs has caused my system to freeze, with no available updates",2,male,"Prague, Czech Republic",2018-04-07
gen_cff22a90,"* It seems like Spotify only cares about collecting premiums, not fixing the problems that come with it",2,male,"Cali, Colombia",2021-09-17
gen_a6bcac50,* The Car Thing debacle should be a warning sign for Spotify: prioritize your users' needs before taking their money,2,male,"São Paulo, Brazil",2021-11-23
gen_0d0c5528,* The fact that I have to re-download liked songs every month is a clear indication of Spotify's lack of attention to detail,2,male,"Mombasa, Kenya",2019-12-03
gen_28941c83,Here are the paraphrased comments with exactly the same sentiment:,2,male,"Toronto, Canada",2020-09-12
gen_56ec0ddb,* The app keeps shutting down on me whenever I'm trying to play music,2,male,"Cali, Colombia",2021-12-28
gen_65ae64b4,"* Your support website is pretty useless, and it's frustrating that this bug still exists after all these months. I've been using Spotify services for a while now, but this app has had so many problems since spring 2024 - I've lost count of how often it crashes when I click on New Episodes or start a podcast",2,male,"Munich, Germany",2018-03-01
gen_0dff30cb,"* To be honest, I'm really let down by the app's performance after years of using it. In the past, Spotify offered a lot for free, but now almost everything is locked behind a paywall. It's annoying that even basic features like choosing songs from your liked playlist require searching for them first",2,male,"Accra, Ghana",2019-12-10
gen_d6a3b982,"* Despite being a subscriber to Duo, I'm still unable to pick individual songs from my liked Playlist without having to search for them separately",2,male,"Tripoli, Libya",2020-02-12
gen_2af813e3,"* My liked list refuses to sync between my phone and PC, which is really frustrating",2,male,"Doha, Qatar",2019-08-13
gen_a4d47e63,Here are the paraphrased comments:,2,male,"Seattle, United States",2020-12-05
gen_0f6fda88,"* The app consistently freezes whenever I try to view lyrics in full screen mode, even as a premium subscriber",2,male,"Kathmandu, Nepal",2019-06-25
gen_6f61942d,"* While the app itself is impressive, its aggressive push for a premium upgrade is really off-putting and more annoying than the ads it already shows between songs",2,male,"Phuket, Thailand",2019-05-21
gen_ce6866fc,"* Every time I start listening to a song, the app crashes and forces me to restart it - I have no idea how to resolve this issue",2,male,"Tel Aviv, Israel",2019-03-30
gen_12fa052e,"* What's great about this app is that it promises 30 minutes of uninterrupted music, but what actually happens is a single song followed by multiple ads",2,female,"Adelaide, Australia",2022-12-19
gen_828b648d,"* Unfortunately, this isn't an impressive app",2,male,"Bali, Indonesia",2019-08-03
gen_675e0589,Here are the paraphrased comments:,2,male,"Quebec City, Canada",2020-07-13
gen_85f65e31,"I highly recommend this app to anyone, regardless of age",2,female,"Gold Coast, Australia",2022-08-21
gen_12fbf4f6,This app is extremely disappointing due to constant premium requests and excessive advertisements over actual content,2,male,"Pretoria, South Africa",2020-04-15
gen_840a74c1,"I'm only giving it 2 stars because I paid for a premium service that supposedly offers unlimited features, but it's still lacking",2,male,"Manila, Philippines",2019-04-20
gen_0a76e870,I have no idea how to describe my dissatisfaction with this app,2,female,"Gold Coast, Australia",2022-08-21
gen_e4884a12,"The free version of this app is completely useless, and the experience was marred by annoying song switching during playback",2,male,"Stockholm, Sweden",2018-06-14
gen_1f4265d6,Here are the paraphrased comments:,2,male,"Valparaíso, Chile",2021-05-14
gen_af94a498,"* The last update messed up playlist functionality, now it always starts over or skips tracks unless I manually open the queue, which doesn't even work sometimes - super annoying when I'm driving",2,male,"Vienna, Austria",2018-08-25
gen_79e4d379,"* A whole tab for creating playlists is a waste of space, I don't need that much dedicated real estate",2,male,"Jakarta, Indonesia",2019-07-10
gen_e25924a3,"* The app's focus should be on music, not podcasts and books; please let me disable those features and keep my home screen clutter-free, especially since it's about music 99% of the time",2,female,"Nadi, Fiji",2022-08-03
gen_d4bb2c6b,* Overwhelming ads are ruining my experience,2,male,"New York, United States",2020-10-21
gen_32f00009,* Can't upgrade to premium due to a persistent bug that needs fixing,2,male,"Toronto, Canada",2021-04-08
gen_73f01e8b,* Too many annoying advertisements popping up everywhere,2,male,"Pretoria, South Africa",2020-04-15
gen_b5bb1dbd,* The app is still plagued by this one major issue preventing me from upgrading to premium,2,male,"Manila, Philippines",2019-07-25
gen_8fab6eac,* There are way too many ads interrupting my use of the app,2,female,"Suva, Fiji",2022-04-19
gen_41ac3692,* This frustrating bug is holding me back from enjoying premium features,2,male,"Boston, United States",2020-08-21
gen_af09333b,Here are the paraphrased comments:,2,male,"Bangalore, India",2019-03-12
gen_4f9fc467,* This app is an absolute disaster!,2,female,"Hobart, Australia",2022-11-08
gen_6188244f,"* The app keeps randomly skipping or replaying podcast episodes, making it a real nuisance to listen to",2,male,"Córdoba, Argentina",2021-08-24
gen_e1fd9b55,* Everything about this app is overpriced and locked behind a paywall,2,male,"Philadelphia, United States",2021-02-15
gen_5e7f1baf,"* It's great, but unfortunately, I can only play each playlist once before getting frustrated with the restrictions",2,male,"Brussels, Belgium",2018-04-16
gen_a8e9e09f,"* If they reduced the monthly subscription price to ₹99, I'd be more likely to sign up",2,female,"Gold Coast, Australia",2022-11-27
gen_db1ca740,Here are the paraphrased comments:,2,male,"Dublin, Ireland",2018-11-06
gen_21287e7c,Extremely satisfied with this app,2,male,"Manila, Philippines",2019-07-25
gen_aaa48a47,"As a premium user, I'm only here due to persistent performance issues, which used to be non-existent until recent updates led to frequent crashes and glitches",2,male,"San Francisco, United States",2021-02-21
gen_5e74f28f,"The constant freezing is extremely frustrating, especially when it happens randomly while I'm just using my phone normally",2,male,"Washington DC, United States",2020-08-18
gen_596eaced,There's a major problem where the app crashes whenever I try to access my queued songs,2,male,"Manila, Philippines",2019-06-23
gen_6ef97e36,Get rid of the create button; it serves no purpose and wastes space,2,male,"Ho Chi Minh City, Vietnam",2019-01-09
gen_4d73ab4d,"Spotify keeps removing songs from my playlists without any reason or warning, which is really annoying and unacceptable for a service that costs so much",2,male,"Pretoria, South Africa",2020-04-15
gen_f5c7e196,The frequent disappearance of songs from my playlists is a huge issue that needs to be fixed ASAP,2,male,"Guadalajara, Mexico",2020-11-29
gen_26e12877,"I'm extremely disappointed with the constant crashes and glitches in this app, especially when accessing my queued songs",2,male,"Johannesburg, South Africa",2019-09-26
gen_ba4f064d,The 'create' feature is completely useless and takes up unnecessary space; it should be removed,2,male,"Abu Dhabi, United Arab Emirates",2019-03-05
gen_92388dd7,Here are the paraphrased comments with the same sentiment:,2,male,"Calgary, Canada",2020-10-29
gen_f002d1c4,"It's been months since I was able to access my liked Playlist, please resolve this issue ASAP!",2,female,"Hobart, Australia",2022-11-27
gen_9981b994,The clear queue button must be reinstated immediately!,2,male,"Riyadh, Saudi Arabia",2019-06-13
gen_62844f8f,"The app consistently freezes my library with an infinite loading screen and the mix button doesn't function, requiring me to close and reshuffle",2,female,"Hobart, Australia",2022-07-31
gen_d0ca58ac,"I've been a long-time Spotify user but I'm really frustrated that certain songs have disappeared from the platform, including some of my favorites",2,female,"Hobart, Australia",2022-06-05
gen_65e06f08,Why are you randomly adding songs to our playlists? It completely defeats the purpose of having playlists and it's infuriating when it plays a different song after I choose one,2,female,"Perth, Australia",2022-07-31
gen_d36c33d9,Here are the paraphrased comments:,2,male,"Santa Cruz, Bolivia",2021-10-29
gen_6cf8ea94,"The app's performance is deteriorating over time, often failing to play desired songs or switching playlists unexpectedly",2,male,"Tunis, Tunisia",2019-11-20
gen_c0b3060b,"I'm disappointed that you removed the weekly mini Spotify premium feature, which was convenient for users who didn't need full-month access. Can we get it back without having to pay a lot?",2,female,"Adelaide, Australia",2022-12-19
gen_63bd04fe,"As a bug reporter, I'm frustrated with your support website and the app's persistent issues since spring 2024. The New Episodes button crashes every time, podcasts frequently freeze, and force quitting is necessary multiple times",2,male,"Helsinki, Finland",2018-10-13
gen_0fc91f07,"The ad overload is unbearable - one song followed by an ad, skipping songs still brings more ads, and it's predictable that another ad will follow",2,male,"Lima, Peru",2021-10-18
gen_28760993,"While the app generally works, I'm tired of the suggested songs feature, which often overrides my playlist choices. This is especially annoying during workouts when I need to manually adjust the playlist",2,male,"Windhoek, Namibia",2020-06-14
gen_c21fccee,"The app consistently crashes when clicking on New Episodes, forcing me to restart multiple times",2,male,"Copenhagen, Denmark",2018-03-12
gen_eaee1ca5,It's becoming increasingly frustrating using your app due to its poor performance and numerous bugs since spring,2,male,"Philadelphia, United States",2021-03-19
gen_f73a96c1,I'm fed up with the excessive ads in the app - it feels like an ad after every song or skipped track,2,male,"Washington DC, United States",2020-07-17
